CLAVE EDO,Clave del Actor,No ID ATRI,Edad,Superficie,InAI,Rendimiento,Autoconsumo,Clientes,nRadiality,Capitales Num,Capitales
TAB,TABER089,23791,74,2,0.111111111,1,50,2,0.528,2,Enlace
TAB,TABER090,23792,68,3,0.166666667,1,50,2,0.792,2,Enlace
TAB,TABER091,23793,78,2,0.111111111,1,50,2,0.528,2,Enlace
TAB,TABER092,23794,57,3,0.166666667,1,30,1,0.792,2,Enlace
TAB,TABER093,23795,80,2,0.111111111,1,50,1,0.528,2,Enlace
TAB,TABER094,23796,64,2,0.111111111,1,50,1,0.528,2,Enlace
TAB,TABER095,23797,78,1,0.166666667,1,100,0,0.792,2,Enlace
TAB,TABER096,23798,45,3,0.111111111,1,30,1,0.528,2,Enlace
TAB,TABER097,23799,56,1,0.111111111,1,100,0,0.528,2,Enlace
TAB,TABER098,23800,56,3,0.111111111,1,30,1,0.528,2,Enlace
TAB,TABER099,23801,77,1,0.166666667,1,100,0,0.528,2,Enlace
TAB,TABER100,23802,82,2,0.166666667,1,50,1,0.528,2,Enlace
TAB,TABER101,23803,80,2,0.111111111,1,50,0,0.528,2,Enlace
TAB,TABER102,23804,68,2,0.111111111,1,50,1,0.528,2,Enlace
TAB,TABER103,23805,54,3,0.111111111,1,30,1,0.528,2,Enlace
TAB,TABER104,23806,67,3,0.166666667,1,50,1,0.792,2,Enlace
TAB,TABER105,23807,76,2,0.055555556,1,50,1,0.264,2,Enlace
TAB,TABER107,23808,58,2,0.055555556,1,50,1,0.264,2,Enlace
TAB,TABER108,23809,51,2,0.166666667,1,50,1,0.792,4,Apego y enlace
TAB,TABER109,23810,49,4,0.166666667,1,50,1,0.792,2,Enlace
TAB,TABER110,23811,46,3,0.055555556,1,30,1,0.264,2,Enlace
TAB,TABER111,23812,69,2,0.166666667,1,50,2,0.792,2,Enlace
TAB,TABER112,23813,45,4,0.111111111,2.5,10,1,0.264,1,Apego
TAB,TABER113,23814,75,3.5,0.166666667,1,75,1,0.528,5,Apego e interface
TAB,TABER114,23815,46,4,0.111111111,1.5,50,1,0.528,4,Apego y enlace
TAB,TABER116,23816,50,2,0.166666667,1,100,0,0.528,6,Enlace e interface
TAB,TABER117,23817,41,2,0.166666667,1.5,50,1,0.528,6,Enlace e interface
TAB,TABER118,23818,72,3.5,0.111111111,1,100,0,0.264,3,Interface
TAB,TABER119,23819,76,4,0.166666667,1,50,1,0.792,2,Enlace
TAB,TABER120,23820,42,2,0.111111111,1.5,100,0,0.528,4,Apego y enlace
TAB,TABER121,23821,84,2,0.111111111,1.5,50,1,0.264,3,Interface
TAB,TABER122,23822,48,2,0.111111111,1,50,1,0.264,2,Enlace
TAB,TABER123,23823,45,2,0.055555556,1,50,1,0.264,2,Enlace
TAB,TABER124,23824,84,2,0.055555556,1,50,1,0.264,2,Enlace
TAB,TABER125,23825,50,3,0.055555556,1,50,1,0.264,2,Enlace
TAB,TABER126,23826,69,2,0.166666667,1,50,1,0.792,2,Enlace
TAB,TABER127,23827,43,2,0.111111111,1,50,1,0.264,2,Enlace
TAB,TABER128,23828,55,4,0.055555556,1,50,1,0.264,2,Enlace
TAB,TABER129,23829,69,4,0.055555556,1,50,1,0.264,2,Enlace
TAB,TABER130,23830,69,2,0.055555556,1,50,1,0.264,2,Enlace
TAB,TABER131,23831,68,2,0.111111111,1,50,1,0.528,2,Enlace
TAB,TABER133,23832,55,2,0.166666667,1,50,1,0.792,2,Enlace
TAB,TABER134,23833,46,2,0.166666667,1,50,1,0.792,2,Enlace
TAB,TABER135,23834,65,2,0.166666667,1,50,1,0.792,2,Enlace
TAB,TABER136,23835,69,2,0.111111111,1,50,1,0.528,2,Enlace
TAB,TABER137,23836,71,2,0.166666667,1,50,1,0.792,2,Enlace
TAB,TABER138,23837,70,2,0.111111111,1,50,1,0.528,2,Enlace
TAB,TABER140,23838,53,5,0.111111111,1.5,25,1,0.528,2,Enlace
TAB,TABER141,23839,72,4,0.166666667,1,25,1,0.792,2,Enlace
TAB,TABER142,23840,58,2,0.111111111,1,100,0,0.528,2,Enlace
TAB,TABER143,23841,55,2,0.111111111,1,100,0,0.528,2,Enlace
TAB,TABER144,23842,53,2,0.111111111,1,50,1,0.528,2,Enlace
TAB,TABER145,23843,47,3,0.111111111,1.2,25,1,0.528,2,Enlace
TAB,TABER146,23844,54,4,0.111111111,1.2,25,1,0.528,2,Enlace
TAB,TABER147,23845,67,2,0.166666667,1,50,1,0.792,2,Enlace
TAB,TABER148,23846,50,2,0.111111111,1.5,100,0,0.528,2,Enlace
TAB,TABER149,23847,73,4,0.111111111,1.5,50,1,0.264,3,Interface
TAB,TABER150,23848,57,2,0.111111111,1.2,100,0,0.528,4,Apego y enlace
TAB,TABER151,23849,48,4,0.111111111,2,30,1,0.528,3,Interface
TAB,TABER152,23850,81,2,0.111111111,1,50,2,0.528,2,Enlace
TAB,TABER153,23851,73,2.5,0.055555556,1.5,100,0,0.264,3,Interface
TAB,TABER154,23852,66,4.5,0.166666667,2.5,50,1,0.264,2,Enlace
TAB,TABER155,23853,38,4,0.055555556,1.5,100,0,0.264,1,Apego
TAB,TABER156,23854,79,3,0.111111111,1.5,66,1,0.528,6,Enlace e interface
TAB,TABER157,23855,66,5,0.111111111,2,20,1,0.528,3,Interface
TAB,TABER159,23856,55,5,0.166666667,4,50,1,0.264,1,Apego
TAB,TABER160,23857,77,2.5,0.111111111,1,80,1,0.528,3,Interface
TAB,TABER162,23858,57,4,0.111111111,1,75,1,0.528,3,Interface
TAB,TABER165,23859,67,3,0.111111111,1,100,0,0.528,6,Enlace e interface
TAB,TABER166,23860,64,2,0,1,0,0,0,0,Ausente
TAB,TABER167,23861,53,3,0.166666667,1,100,0,0.792,6,Enlace e interface
TAB,TABER168,23862,50,3,0.111111111,1.5,100,0,0.528,6,Enlace e interface
TAB,TABER170,23863,76,3,0.111111111,1.2,67,1,0.528,3,Interface
TAB,TABER171,23864,56,2.5,0.055555556,1,100,0,0.264,3,Interface
TAB,TABER172,23865,47,3,0.111111111,1.8,50,1,0.528,3,Interface
TAB,TABER173,23866,41,2,0.111111111,1.8,100,0,0.528,6,Enlace e interface
TAB,TABER174,23867,49,2,0.111111111,1.5,50,1,0.528,6,Enlace e interface
TAB,TABER175,23868,69,2,0.111111111,1,75,1,0.528,3,Interface
