ID,Clave_actor,Apego,Enlace,Interface,Formas_Capitales,EDO,Agricultura_contrato_18,Análisis_suelo_18,Análisis_foliar_18,Asociación_cultivos_18,Azufre_18,Biofertilizantes_18,Bioinsecticidas_18,Cal_micronizada_18,Camas_permanentes_18,Certificación_productos_18,Composta_18,Control_biológico_18,Criollos_mejorados_18,Cultivos_cobertura_18,Desgranadora_18,Desvare_18,Estudio_mercado_18,Feromonas_18,Fertilización_18,Greenseeker_18,Insectos_benéficos_18,Maíz_hibrídos_MasAgro_18,Maíz_mejorado_MasAgro_18,Maíz_polinización_abierta_18,Mejoradores_suelo_18,Micorrizas_18,Micronutrientes_18,Monitoreo_plagas_18,Nivelación_suelos_18,Poscosecha_18,Rastra_18,Rastrojo_18,Secadora_18,Semillas_mejoradas_diversas_18,Siembra_directa_18,Subsoleo_18,Trampas_colores_18,Tratamiento_semillas_18,Riego_goteo_18
144,CAMER240,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,,FM007,,,PI033,,,,,,,,PSP006,,,,,,,,,
145,CAMER241,0,2,1,6,CAM,,,,,,,,,,,,,,,,,,,FM007,,,PI033,,,,,,,,PSP006,,,,,,,,,
146,CAMER242,0,2,0,2,CAM,,,,,,,,,,,,,,,,,,,PI022,,,,,,,,,,,PSP006,,,,,,,,,
147,CAMER243,0,2,1,6,CAM,,,,,,IG002,,,,,,,,,,,,,PI001,,,,,,,,,,,PSP006,,,,,,,,,
148,CAMER244,0,2,0,2,CAM,,,,,,,,,,,,,,,,,,,PI001,,,,,,,,,,,PSP006,,,,,,,,,
149,CAMER245,0,0,1,3,CAM,,,,,,,,,,,,,,,,,,,IG004,,,,,,,,,,,,,,,,,,,,
150,CAMER246,0,2,0,2,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,PSP007,,,PSP006,,,,,,,,,
151,CAMER248,0,2,0,2,CAM,,,,,,,,,,,,,,,,,,,PI001,,,,,,,,,,,PSP006,,,,,,,,,
152,CAMER250,4,0,0,1,CAM,,,,,,,,,,,,,,,,,,ER336,ER250,,,,,,,,,,,ER336,,,,ER284,,,,,
153,CAMER257,0,1,0,2,CAM,,,,,,,,,,,,,,,,,,,PI001,,,,,,,,,,,,,,,,,,,,
154,CAMER258,0,1,0,2,CAM,,,,,,,,,,,,,,,,,,,PI001,,,,,,,,,,,,,,,,,,,,
155,CAMER260,0,1,0,2,CAM,,,,,,,,,,,,,,,,,,,PI001,,,,,,,,,,,,,,,,,,,,
156,CAMER262,0,1,0,2,CAM,,,,,,,,,,,,,,,,,,,PI001,,,,,,,,,,,,,,,,,,,,
157,CAMER266,1,0,0,1,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER336,,,,,,,,,
158,CAMER268,1,0,0,1,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER336,,,,
159,CAMER269,2,0,0,1,CAM,,,,,,,,,,,,,,,,,,ER336,,,,,,,,,,,,ER336,,,,,,,,,
160,CAMER274,2,0,0,1,CAM,,,,,,,,,,,,,,,,,,ER336,,,,,,,,,,,,ER336,,,,,,,,,
161,CAMER275,2,0,0,1,CAM,,,,,,,,,,,,,,,,,,ER336,,,,,,,,,,,,ER336,,,,,,,,,
162,CAMER277,1,1,0,4,CAM,,,,,,,,,,,,,,,,,,ER336,PI035,,,,,,,,,,,,,,,,,,,,
163,CAMER278,0,1,0,2,CAM,,,,,,,,,,,,,,,,,,,PI035,,,,,,,,,,,,,,,,,,,,
164,CAMER279,0,1,0,2,CAM,,,,,,,,,,,,,,,,,,,PI035,,,,,,,,,,,,,,,,,,,,
165,CAMER281,0,1,0,2,CAM,,,,,,,,,,,,,,,,,,,PI035,,,,,,,,,,,,,,,,,,,,
166,CAMER291,1,0,0,1,CAM,,,,,,,,,,,,,,,,,,,ER291,,,,,,,,,,,,,,,,,,,,
167,CAMER292,0,2,1,6,CAM,,,,,,PSP010,,,,,,,,,,,,,PSP010,,,,,,,,,,,FM008,,,,,,,,,
168,CAMER293,0,1,2,6,CAM,,,,,,IG002,,,,,,,,,,,,,PSP009,,,,,,,,,,,FM008,,,,,,,,,
169,CAMER294,0,0,2,3,CAM,,,,,,IG002,,,,,,,,,,,,,,,,,,,,,,,,FM008,,,,,,,,,
170,CAMER295,0,0,2,3,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,FM008,,,,,,,,,
171,CAMER297,0,0,2,3,CAM,,,,,,IG002,,,,,,,,,,,,,,,,,,,,,,,,FM008,,,,,,,,,
172,CAMER298,0,0,2,3,CAM,,,,,,IG002,,,,,,,,,,,,,,,,,,,,,,,,FM008,,,,,,,,,
173,CAMER299,0,0,3,3,CAM,,,,,,IG002,,,,,,,,,,,,,IG002,,,,,,,,,,,FM008,,,,,,,,,
174,CAMER300,0,0,3,3,CAM,,,,,,IG002,,,,,,,,,,,,,IG002,,,,,,,,,,,FM008,,,,,,,,,
175,CAMER301,0,0,3,3,CAM,,,,,,IG002,,,,,,,,,,,,,IG002,,,,,,,,,,,FM008,,,,,,,,,
176,CAMER302,0,0,3,3,CAM,,,,,,IG002,,,,,,,,,,,,,IG002,,,,,,,,,,,FM008,,,,,,,,,
177,CAMER303,0,0,2,3,CAM,,,,,,IG002,,,,,,,,,,,,,IG002,,,,,,,,,,,,,,,,,,,,
178,CAMER304,0,0,2,3,CAM,,,,,,IG002,,,,,,,,,,,,,,,,,,,,,,,,FM008,,,,,,,,,
179,CAMER305,0,0,2,3,CAM,,,,,,IG002,,,,,,,,,,,,,,,,,,,,,,,,FM008,,,,,,,,,
180,CAMER306,0,0,2,3,CAM,,,,,,IG002,,,,,,,,,,,,,,,,,,,,,,,,FM008,,,,,,,,,
181,CAMER307,0,0,3,3,CAM,,,,,,IG002,,,,,,,,,,,,,IG002,,,,,,,,,,,FM008,,,,,,,,,
